survey_id,survey_time,survey_set,Please indicate your gender,How many years have you been teaching?,What is your current awareness of the growth mindset?,"From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,All of my students would improve their intelligence if they worked hard at it,Maths involves mostly facts and procedures that have to be learned,"There will always be some students who simply won't ""get it"" no matter what I do","In maths, answers are either right or wrong",Discussing students' errors with the class is a good strategy for enhancing students' understanding,Intelligence is something that people have a certain amount of and there isn't much they can do to change it,Some people have a knack for learning and some just don't,Students who finish their work quickly understand the material better than students who take longer,I can improve my skills but I can't change my basic level of ability,"In maths, you can be creative and discover things on your own",Effort should be a major consideration when grading students,Mathematical ability is something that remains relatively fixed throughout a person's life,"NA",There is usually only one way to solve a maths problem,Has this changed since your involvement with this course?,value_Please indicate your gender,value_How many years have you been teaching?,value_What is your current awareness of the growth mindset?,"value_From the school(s) you are involved with, is growth mindset mentioned in the school improvement plan?",value_What main reason has prevented you from implementing agrowth mindset culture in your school / teaching?,value_All of my students would improve their intelligence if they worked hard at it,value_Maths involves mostly facts and procedures that have to be learned,"value_There will always be some students who simply won't ""get it"" no matter what I do","value_In maths, answers are either right or wrong",value_Discussing students' errors with the class is a good strategy for enhancing students' understanding,value_Intelligence is something that people have a certain amount of and there isn't much they can do to change it,value_Some people have a knack for learning and some just don't,value_Students who finish their work quickly understand the material better than students who take longer,value_I can improve my skills but I can't change my basic level of ability,"value_In maths, you can be creative and discover things on your own",value_Effort should be a major consideration when grading students,value_Mathematical ability is something that remains relatively fixed throughout a person's life,value_NA,value_There is usually only one way to solve a maths problem,value_Has this changed since your involvement with this course?
24,pre,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Disagree,Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
25,pre,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
26,pre,your_beliefs,NA,NA,NA,NA,NA,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Agree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
27,pre,your_beliefs,NA,NA,NA,NA,NA,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
28,pre,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Disagree,Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
29,pre,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
1,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
2,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
3,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
4,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
4,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
4,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
4,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
4,post,your_beliefs,NA,NA,NA,NA,NA,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
4,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
5,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
5,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
5,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
5,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
5,post,your_beliefs,NA,NA,NA,NA,NA,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
5,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1,1,1,1,0,1,0,1,NA
6,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
7,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
8,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
9,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
10,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
11,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
12,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
13,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
14,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
15,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
16,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
17,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
18,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
19,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
20,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
21,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
22,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
23,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
23,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
24,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
25,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
26,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
27,post,your_beliefs,NA,NA,NA,NA,NA,Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
28,post,your_beliefs,NA,NA,NA,NA,NA,Somewhat Disagree,Agree,Disagree,Strongly Disagree,Somewhat Disagree,Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
29,post,your_beliefs,NA,NA,NA,NA,NA,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Somewhat Disagree,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
